,station,year,month,day,hour,precip,wind_speed,wind_gust,distance,category
0,CSAP4,2005,7,5,18,0.2539997100830078,4.920000076293945,13.40999984741211,500.95968559215453,1.0
1,CSAP4,2005,7,5,19,1.2700004577636719,2.680000066757202,11.170000076293945,500.95968559215453,1.0
2,CSAP4,2005,7,5,20,0.2539997100830078,3.5799999237060547,5.809999942779541,500.95968559215453,1.0
3,CSAP4,2005,7,5,21,10.160000801086426,3.130000114440918,5.809999942779541,500.95968559215453,1.0
4,CSAP4,2005,7,5,22,0.7619991302490234,4.019999980926514,9.84000015258789,500.95968559215453,1.0
5,CSAP4,2005,7,5,23,0.0,4.920000076293945,9.84000015258789,500.95968559215453,1.0
6,CSAP4,2005,7,6,0,2.285999298095703,3.5799999237060547,6.699999809265137,500.95968559215453,1.0
7,CSAP4,2005,10,22,12,0.0,3.5799999237060547,6.260000228881836,276.75287169504145,0.0
8,CSAP4,2005,10,22,13,0.0,6.260000228881836,9.390000343322754,276.75287169504145,0.0
9,CSAP4,2005,10,22,14,1.52398681640625,6.260000228881836,9.390000343322754,276.75287169504145,0.0
10,CSAP4,2005,10,22,15,0.0,6.699999809265137,12.960000038146973,276.75287169504145,0.0
11,CSAP4,2005,10,22,16,0.25396728515625,6.260000228881836,9.84000015258789,276.75287169504145,0.0
12,CSAP4,2005,10,22,17,0.0,5.809999942779541,11.170000076293945,276.75287169504145,0.0
13,CSAP4,2005,10,22,18,8.8900146484375,6.699999809265137,9.84000015258789,276.75287169504145,0.0
14,CSAP4,2005,10,22,18,8.8900146484375,6.699999809265137,9.84000015258789,288.59676291539984,1.0
15,CSAP4,2005,10,22,19,1.77801513671875,4.019999980926514,12.069999694824219,288.59676291539984,1.0
16,CSAP4,2005,10,22,20,2.2860107421875,0.44999998807907104,4.46999979019165,288.59676291539984,1.0
17,CSAP4,2005,10,22,21,5.0799560546875,4.46999979019165,7.599999904632568,288.59676291539984,1.0
18,CSAP4,2005,10,22,22,0.2540283203125,2.2300000190734863,9.84000015258789,288.59676291539984,1.0
19,CSAP4,2005,10,22,23,0.0,2.2300000190734863,4.46999979019165,288.59676291539984,1.0
20,CSAP4,2005,10,23,0,1.0159912109375,2.680000066757202,4.46999979019165,288.59676291539984,1.0
21,CSAP4,2005,10,23,0,1.0159912109375,2.680000066757202,4.46999979019165,360.0635213390576,2.0
22,CSAP4,2005,10,23,1,0.0,2.680000066757202,4.46999979019165,360.0635213390576,2.0
23,CSAP4,2005,10,23,2,0.0,2.2300000190734863,4.019999980926514,360.0635213390576,2.0
24,CSAP4,2005,10,23,3,0.0,1.7899999618530273,4.019999980926514,360.0635213390576,2.0
25,CSAP4,2005,10,23,6,0.0,2.2300000190734863,3.130000114440918,360.0635213390576,2.0
26,CSAP4,2005,11,14,18,0.25396728515625,4.019999980926514,7.599999904632568,486.97347578636277,0.0
27,CSAP4,2005,11,14,19,0.0,4.46999979019165,8.9399995803833,486.97347578636277,0.0
28,CSAP4,2005,11,14,20,0.0,3.130000114440918,6.699999809265137,486.97347578636277,0.0
29,CSAP4,2005,11,14,21,0.0,1.7899999618530273,6.260000228881836,486.97347578636277,0.0
30,CSAP4,2005,11,14,22,0.0,1.7899999618530273,3.130000114440918,486.97347578636277,0.0
31,CSAP4,2005,11,14,23,0.0,2.2300000190734863,4.019999980926514,486.97347578636277,0.0
32,CSAP4,2005,11,15,0,0.0,2.2300000190734863,5.809999942779541,486.97347578636277,0.0
33,CSAP4,2005,11,15,0,0.0,2.2300000190734863,5.809999942779541,443.82905683880205,0.0
34,CSAP4,2005,11,15,1,0.0,2.2300000190734863,4.920000076293945,443.82905683880205,0.0
35,CSAP4,2005,11,15,2,0.0,2.2300000190734863,5.369999885559082,443.82905683880205,0.0
36,CSAP4,2005,11,15,3,0.0,3.5799999237060547,5.369999885559082,443.82905683880205,0.0
37,CSAP4,2005,11,15,4,0.2540283203125,2.680000066757202,4.46999979019165,443.82905683880205,0.0
38,CSAP4,2005,11,15,5,0.0,3.5799999237060547,6.260000228881836,443.82905683880205,0.0
39,CSAP4,2005,11,15,6,0.0,2.2300000190734863,3.5799999237060547,443.82905683880205,0.0
40,CSAP4,2005,11,15,6,0.0,2.2300000190734863,3.5799999237060547,412.24724642468874,1.0
41,CSAP4,2005,11,15,7,0.0,3.130000114440918,4.920000076293945,412.24724642468874,1.0
42,CSAP4,2005,11,15,8,0.0,2.680000066757202,5.809999942779541,412.24724642468874,1.0
43,CSAP4,2005,11,15,9,0.0,2.680000066757202,4.920000076293945,412.24724642468874,1.0
44,CSAP4,2005,11,15,10,0.0,2.2300000190734863,5.369999885559082,412.24724642468874,1.0
45,CSAP4,2005,11,15,11,0.0,1.340000033378601,3.5799999237060547,412.24724642468874,1.0
46,CSAP4,2005,11,15,12,0.0,0.8999999761581421,5.369999885559082,412.24724642468874,1.0
47,CSAP4,2005,11,15,12,0.0,0.8999999761581421,5.369999885559082,409.50484747111165,1.0
48,CSAP4,2005,11,15,13,0.0,3.130000114440918,6.699999809265137,409.50484747111165,1.0
49,CSAP4,2005,11,15,14,0.0,6.260000228881836,9.390000343322754,409.50484747111165,1.0
50,CSAP4,2005,11,15,15,0.0,4.920000076293945,9.84000015258789,409.50484747111165,1.0
51,CSAP4,2005,11,15,16,0.0,5.809999942779541,9.84000015258789,409.50484747111165,1.0
52,CSAP4,2005,11,15,17,0.0,5.369999885559082,10.729999542236328,409.50484747111165,1.0
53,CSAP4,2005,11,15,18,0.0,5.809999942779541,8.9399995803833,409.50484747111165,1.0
54,CSAP4,2006,8,2,6,0.0,0.8999999761581421,3.130000114440918,434.14409023109295,3.0
55,CSAP4,2006,8,2,7,0.0,1.7899999618530273,3.5799999237060547,434.14409023109295,3.0
56,CSAP4,2006,8,2,8,0.0,0.44999998807907104,2.680000066757202,434.14409023109295,3.0
57,CSAP4,2006,8,2,9,0.0,0.8999999761581421,2.680000066757202,434.14409023109295,3.0
58,CSAP4,2006,8,2,10,0.0,1.7899999618530273,3.130000114440918,434.14409023109295,3.0
59,CSAP4,2006,8,2,11,0.0,0.8999999761581421,3.5799999237060547,434.14409023109295,3.0
60,CSAP4,2006,8,2,12,0.0,1.7899999618530273,3.5799999237060547,434.14409023109295,3.0
61,CSAP4,2006,8,2,12,0.0,1.7899999618530273,3.5799999237060547,363.0686435564797,3.0
62,CSAP4,2006,8,2,13,0.0,1.7899999618530273,3.5799999237060547,363.0686435564797,3.0
63,CSAP4,2006,8,2,14,0.0,2.680000066757202,4.019999980926514,363.0686435564797,3.0
64,CSAP4,2006,8,2,15,0.0,3.130000114440918,5.369999885559082,363.0686435564797,3.0
65,CSAP4,2006,8,2,16,0.0,3.130000114440918,4.920000076293945,363.0686435564797,3.0
66,CSAP4,2006,8,2,17,0.0,2.680000066757202,4.46999979019165,363.0686435564797,3.0
67,CSAP4,2006,8,2,18,0.0,1.7899999618530273,4.46999979019165,363.0686435564797,3.0
68,CSAP4,2006,8,2,18,0.0,1.7899999618530273,4.46999979019165,307.06759583480675,3.0
